INC_VALID1,U,p0,,,,pincode,phone,Email_id,NationalIDNumber,identifier2,identifier3,name1,name2,name3,firstname,middlename,country,lastname,Address,unq_id,mothername,extra_name,customerid,taxid,passport,driving_licence,national_id,aadhaar,fathername,birthyear,borrowernamelist,residence address,residence city,residence state,residence pincode,residence country,office address,office city,office state,office pincode,office country,mailing address,mailing city,mailing state,mailing pincode,mailing country,permanent address,permanent city,permanent state,permanent pincode,permanent country,communication address,communication city,communication state,communication pincode,communication country,residence phone,office phone,mailing phone,permanent phone,datasetid,file_id,spousename,address_type,email_type,phone_type,CUST_UNQ_ID,residence Email,office Email,mailing Email,permanent Email,communication phone,communication Email,residence_address_type,residence_email_type,residence_phone_type,office_address_type,office_email_type,office_phone_type,mailing_address_type,mailing_email_type,mailing_phone_type,permanent_address_type,permanent_email_type,permanent_phone_type,communication_address_type,communication_email_type,communication_phone_type
INC_VALID2,U,p0,,,,523169,7036981219,SAM@GMAIL.COM,NAN000001,AADHAR,PAN,SAMARA,SAI THARUN,MANOJ,SAM,SON,INDIA,GUDE,TANUBODDIVAIPALEM,1111,RAJYAM,KURAKULA,PTPL-567,PYJPS8481R,PASS0003,DIV003,NAN002,758559473649,GUDE MARFI,2000,GANESH,JAYATH GIRI GUTTA,HYD,TELANGANA,500082,INDIA,HITECT CITY,HYD,TELANGANA,500081,INDIA,ONGOLE,ONGOLE,ANDHRA PRADESH,523239,INDIA,CHIRALA,CHIRALA,ANDHRA PRADESH,523159,INDIA,GUNTUR,GUNTUR,ANDHRA PRADESH,500321,INDIA,7036981200,7036988770,8978213600,9381752243,2,1,ASIF KHAN,HOME,HOME,HOME,Y19CS048,RES@GAMIL.COM,OFF@GMAIL.COM,MAILING@GMAIL.COM,PER@GMAIL.COM,9874563210,COM@GMAIL.COM,RESIDENCE,RESIDENCE,RESIDENCE,OFFICE,OFFICE,OFFICE,MAILING_type,MAILING_type,MAILING_type,PERMANENT_type,PERMANENT_type,PERMANENT_type,communication_type,communication,communication
INC_VALID3,U,p0,,,,523169,7036981219,ANAND@GMAIL.COM,NAN00005,AADHAR,PAN,SAMARA,SAI THARUN,MANOJ,SAM,SON,INDIA,GUDE,TANUBODDIVAIPALEM,1111,RAJYAM,KURAKULA,PTPL-568,PYJPS8481S,PASS0005,DIV006,NAN006,758559473646,GUDE MARFI,2001,GANESH,JAYATH GIRI GUTTA,HYD,TELANGANA,500082,INDIA,HITECT CITY,HYD,TELANGANA,500081,INDIA,ONGOLE,ONGOLE,ANDHRA PRADESH,523239,INDIA,CHIRALA,CHIRALA,ANDHRA PRADESH,523159,INDIA,GUNTUR,GUNTUR,ANDHRA PRADESH,500321,INDIA,7036981200,7036988770,8978213600,9381752243,3,3,ASIF KHAN,HOME,HOME,HOME,Y19CS049,RES@GAMIL.COM,OFF@GMAIL.COM,MAILING@GMAIL.COM,PER@GMAIL.COM,9874563210,COM@GMAIL.COM,RESIDENCE,RESIDENCE,RESIDENCE,OFFICE,OFFICE,OFFICE,MAILING_type,MAILING_type,MAILING_type,PERMANENT_type,PERMANENT_type,PERMANENT_type,communication_type,communication,communication
INC_VALID4,U,p0,,,,523169,7036981219,ANAND@GMAIL.COM,NAN00ANAND,AADHAR,PAN,SAMARA,SAI THARUN,MANOJ,SAM,SON,INDIA,GUDE,TANUBODDIVAIPALEM,1111,RAJYAM,KURAKULA,PTPL-568,PYJPS8481S,PASS0005,DIV006,NAN006,758559473646,GUDE MARFI,2001,GANESH,JAYATH GIRI GUTTA,HYD,TELANGANA,500082,INDIA,HITECT CITY,HYD,TELANGANA,500081,INDIA,ONGOLE,ONGOLE,ANDHRA PRADESH,523239,INDIA,CHIRALA,CHIRALA,ANDHRA PRADESH,523159,INDIA,GUNTUR,GUNTUR,ANDHRA PRADESH,500321,INDIA,7036981200,7036988770,8978213600,9381752243,3,3,ASIF KHAN,HOME,HOME,HOME,Y19CS050,RES@GAMIL.COM,OFF@GMAIL.COM,MAILING@GMAIL.COM,PER@GMAIL.COM,9874563210,COM@GMAIL.COM,RESIDENCE,RESIDENCE,RESIDENCE,OFFICE,OFFICE,OFFICE,MAILING_type,MAILING_type,MAILING_type,PERMANENT_type,PERMANENT_type,PERMANENT_type,communication_type,communication,communication
INC_VALID5,U,p0,,,,523169,7036981219,ANAND@GMAIL.COM,NAN00RAO,AADHAR,PAN,SAMARA,SAI THARUN,MANOJ,SAM,SON,INDIA,GUDE,TANUBODDIVAIPALEM,1111,RAJYAM,KURAKULA,PTPL-568,PYJPS8481S,PASS0005,DIV006,NAN006,758559473646,GUDE MARFI,2001,GANESH,JAYATH GIRI GUTTA,HYD,TELANGANA,500082,INDIA,HITECT CITY,HYD,TELANGANA,500081,INDIA,ONGOLE,ONGOLE,ANDHRA PRADESH,523239,INDIA,CHIRALA,CHIRALA,ANDHRA PRADESH,523159,INDIA,GUNTUR,GUNTUR,ANDHRA PRADESH,500321,INDIA,7036981200,7036988770,8978213600,9381752243,3,3,ASIF KHAN,HOME,HOME,HOME,Y19CS051,RES@GAMIL.COM,OFF@GMAIL.COM,MAILING@GMAIL.COM,PER@GMAIL.COM,9874563210,COM@GMAIL.COM,RESIDENCE,RESIDENCE,RESIDENCE,OFFICE,OFFICE,OFFICE,MAILING_type,MAILING_type,MAILING_type,PERMANENT_type,PERMANENT_type,PERMANENT_type,communication_type,communication,communication
INC_VALID6,U,p0,,,,523169,7036981219,ANAND@GMAIL.COM,NAN00RAO,AADHAR,PAN,SAMARA,SAI THARUN,MANOJ,SAM,SON,INDIA,GUDE,TANUBODDIVAIPALEM,1111,RAJYAM,KURAKULA,PTPL-568,PYJPS8481S,PASS0005,DIV006,NAN006,758559473646,GUDE MARFI,2001,GANESH,JAYATH GIRI GUTTA,HYD,TELANGANA,500082,INDIA,HITECT CITY,HYD,TELANGANA,500081,INDIA,ONGOLE,ONGOLE,ANDHRA PRADESH,523239,INDIA,CHIRALA,CHIRALA,ANDHRA PRADESH,523159,INDIA,GUNTUR,GUNTUR,ANDHRA PRADESH,500321,INDIA,7036981200,7036988770,8978213600,9381752243,3,3,ASIF KHAN,HOME,HOME,HOME,Y19CS052,RES@GAMIL.COM,OFF@GMAIL.COM,MAILING@GMAIL.COM,PER@GMAIL.COM,9874563210,COM@GMAIL.COM,RESIDENCE,RESIDENCE,RESIDENCE,OFFICE,OFFICE,OFFICE,MAILING_type,MAILING_type,MAILING_type,PERMANENT_type,PERMANENT_type,PERMANENT_type,communication_type,communication,communication
INC_VALID7,U,p0,,,,523169,7036981219,ANAND@GMAIL.COM,NAN00RAO,AADHAR,PAN,SAMARA,SAI THARUN,MANOJ,SAM,SON,INDIA,GUDE,TANUBODDIVAIPALEM,1111,RAJYAM,KURAKULA,PTPL-568,PYJPS8481S,PASS0005,DIV006,NAN006,758559473646,GUDE MARFI,2001,GANESH,JAYATH GIRI GUTTA,HYD,TELANGANA,500082,INDIA,HITECT CITY,HYD,TELANGANA,500081,INDIA,ONGOLE,ONGOLE,ANDHRA PRADESH,523239,INDIA,CHIRALA,CHIRALA,ANDHRA PRADESH,523159,INDIA,GUNTUR,GUNTUR,ANDHRA PRADESH,500321,INDIA,7036981200,7036988770,8978213600,9381752243,3,3,ASIF KHAN,HOME,HOME,HOME,Y19CS053,RES@GAMIL.COM,OFF@GMAIL.COM,MAILING@GMAIL.COM,PER@GMAIL.COM,9874563210,COM@GMAIL.COM,RESIDENCE,RESIDENCE,RESIDENCE,OFFICE,OFFICE,OFFICE,MAILING_type,MAILING_type,MAILING_type,PERMANENT_type,PERMANENT_type,PERMANENT_type,communication_type,communication,communication
INC_VALID8,U,p0,,,,pincode,phone,Email_id,NationalIDNumber,identifier2,identifier3,name1,name2,name3,firstname,middlename,country,lastname,Address,unq_id,mothername,extra_name,customerid,taxid,passport,driving_licence,national_id,aadhaar,fathername,birthyear,borrowernamelist,residence address,residence city,residence state,residence pincode,residence country,office address,office city,office state,office pincode,office country,mailing address,mailing city,mailing state,mailing pincode,mailing country,permanent address,permanent city,permanent state,permanent pincode,permanent country,communication address,communication city,communication state,communication pincode,communication country,residence phone,office phone,mailing phone,permanent phone,datasetid,file_id,spousename,address_type,email_type,phone_type,CUST_UNQ_ID,residence Email,office Email,mailing Email,permanent Email,communication phone,communication Email,residence_address_type,residence_email_type,residence_phone_type,office_address_type,office_email_type,office_phone_type,mailing_address_type,mailing_email_type,mailing_phone_type,permanent_address_type,permanent_email_type,permanent_phone_type,communication_address_type,communication_email_type,communication_phone_type
INC_VALID9,U,p0,,,,523169,7036981219,SAM@GMAIL.COM,NAN000001,AADHAR,PAN,SAMARA,SAI THARUN,MANOJ,SAM,SON,INDIA,GUDE,TANUBODDIVAIPALEM,1111,RAJYAM,KURAKULA,PTPL-567,PYJPS8481R,PASS0003,DIV003,NAN002,758559473649,GUDE MARFI,2000,GANESH,JAYATH GIRI GUTTA,HYD,TELANGANA,500082,INDIA,HITECT CITY,HYD,TELANGANA,500081,INDIA,ONGOLE,ONGOLE,ANDHRA PRADESH,523239,INDIA,CHIRALA,CHIRALA,ANDHRA PRADESH,523159,INDIA,GUNTUR,GUNTUR,ANDHRA PRADESH,500321,INDIA,7036981200,7036988770,8978213600,9381752243,2,1,ASIF KHAN,HOME,HOME,HOME,Y19CS048,RES@GAMIL.COM,OFF@GMAIL.COM,MAILING@GMAIL.COM,PER@GMAIL.COM,9874563210,COM@GMAIL.COM,RESIDENCE,RESIDENCE,RESIDENCE,OFFICE,OFFICE,OFFICE,MAILING_type,MAILING_type,MAILING_type,PERMANENT_type,PERMANENT_type,PERMANENT_type,communication_type,communication,communication
INC_VALID10,U,p0,,,,523169,7036981219,ANAND@GMAIL.COM,NAN00005,AADHAR,PAN,SAMARA,SAI THARUN,MANOJ,SAM,SON,INDIA,GUDE,TANUBODDIVAIPALEM,1111,RAJYAM,KURAKULA,PTPL-568,PYJPS8481S,PASS0005,DIV006,NAN006,758559473646,GUDE MARFI,2001,GANESH,JAYATH GIRI GUTTA,HYD,TELANGANA,500082,INDIA,HITECT CITY,HYD,TELANGANA,500081,INDIA,ONGOLE,ONGOLE,ANDHRA PRADESH,523239,INDIA,CHIRALA,CHIRALA,ANDHRA PRADESH,523159,INDIA,GUNTUR,GUNTUR,ANDHRA PRADESH,500321,INDIA,7036981200,7036988770,8978213600,9381752243,3,3,ASIF KHAN,HOME,HOME,HOME,Y19CS049,RES@GAMIL.COM,OFF@GMAIL.COM,MAILING@GMAIL.COM,PER@GMAIL.COM,9874563210,COM@GMAIL.COM,RESIDENCE,RESIDENCE,RESIDENCE,OFFICE,OFFICE,OFFICE,MAILING_type,MAILING_type,MAILING_type,PERMANENT_type,PERMANENT_type,PERMANENT_type,communication_type,communication,communication
